"Account","Flag","Date","Payee","Category Group/Category","Category Group","Category","Memo","Outflow","Inflow","Cleared"
"Chase Disney Visa (0810)","","11/12/2025","Disney+","Subscriptions ⏱️: Disney+","Subscriptions ⏱️","Disney+","",$216.55,$0.00,"Cleared"
"Chase Sapphire (1661)","","11/12/2025","Walmart","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$113.73,$0.00,"Cleared"
"Chase Prime Visa (8863)","","11/12/2025","Amazon","","","","",$108.04,$0.00,"Cleared"
"Shared Checking (1852)","","11/12/2025","Venmo","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$105.00,$0.00,"Cleared"
"Chase Sapphire (1661)","","11/12/2025","Tokyo Sushi Hibachi","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$87.52,$0.00,"Cleared"
"Chase Disney Visa (0810)","","11/11/2025","Walt Disney World","Fun Money: Date Night 💞","Fun Money","Date Night 💞","",$35.41,$0.00,"Cleared"
"Chase Prime Visa (8863)","","11/11/2025","Amazon Kindle Services","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$9.99,$0.00,"Cleared"
"Shared Checking (1852)","","11/10/2025","Greenlight","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$5.00,$0.00,"Cleared"
"Shared Checking (1852)","","11/10/2025","Greenlight","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$5.00,$0.00,"Cleared"
"Shared Checking (1852)","","11/10/2025","Greenlight","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$5.00,$0.00,"Cleared"
"Chase Sapphire (1661)","","11/09/2025","Browns Gym Orbit Sports","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$12.00,$0.00,"Cleared"
"Shared Checking (1852)","","11/07/2025","Duke Energy","Fixed Monthly Expenses: Electricity 💡","Fixed Monthly Expenses","Electricity 💡","",$540.94,$0.00,"Cleared"
"Chase Prime Visa (8863)","","11/07/2025","Amazon","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$46.87,$0.00,"Cleared"
"Chase Sapphire (1661)","","11/07/2025","Live2D","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$14.17,$0.00,"Cleared"
"Chase Sapphire (1661)","","11/07/2025","Kickstarter","Fun Money: Colin's Discretionary 🎮","Fun Money","Colin's Discretionary 🎮","",$11.03,$0.00,"Cleared"
"Shared Checking (1852)","","11/07/2025","Greenlight","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$5.99,$0.00,"Cleared"
"Chase Sapphire (1661)","","11/06/2025","Oracle","Fun Money: Colin's Discretionary 🎮","Fun Money","Colin's Discretionary 🎮","",$0.26,$0.00,"Cleared"
"Chase Sapphire (1661)","","11/06/2025","Oracle","Fun Money: Colin's Discretionary 🎮","Fun Money","Colin's Discretionary 🎮","",$0.01,$0.00,"Cleared"
"Chase Sapphire (1661)","","11/05/2025","Maitland Montessori Schoo","Fixed Monthly Expenses: School 🏫","Fixed Monthly Expenses","School 🏫","",$1453.80,$0.00,"Cleared"
"Shared Checking (1852)","","11/05/2025","Target","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$160.26,$0.00,"Cleared"
"Chase Disney Visa (0810)","","11/05/2025","Walt Disney World","Fun Money: Fun/Entertainment 🎉","Fun Money","Fun/Entertainment 🎉","",$106.24,$0.00,"Cleared"
"Chase Prime Visa (8863)","","11/05/2025","Whole Foods","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$4.49,$0.00,"Cleared"
"Shared Checking (1852)","","11/05/2025","Step Up for Stud","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$0.00,$142.91,"Cleared"
"Chase Disney Visa (0810)","","11/04/2025","Francesco's Ristorante","Fun Money: Fun/Entertainment 🎉","Fun Money","Fun/Entertainment 🎉","date night eli",$79.03,$0.00,"Cleared"
"Chase Prime Visa (8863)","","11/04/2025","Amazon","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","Erivyn stuff for hospital",$64.19,$0.00,"Cleared"
"Chase Sapphire (1661)","","11/04/2025","Green Papaya Thai Sush","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$60.30,$0.00,"Cleared"
"Chase Sapphire (1661)","","11/04/2025","Allegro Music Center","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$28.36,$0.00,"Cleared"
"Shared Checking (1852)","","11/04/2025","Step Up for Stud","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$0.00,$16.99,"Cleared"
"Chase Sapphire (1661)","","11/03/2025","Kickstarter","Fun Money: Colin's Discretionary 🎮","Fun Money","Colin's Discretionary 🎮","Galactic Cruise",$67.00,$0.00,"Cleared"
"Shared Checking (1852)","","11/03/2025","Target","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$7.96,$0.00,"Cleared"
"Chase Prime Visa (8863)","","11/03/2025","Amazon","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","erivyn stuff for hospital",$7.69,$0.00,"Cleared"
"Shared Checking (1852)","","11/03/2025","Zelle Transfer","Fun Money: Melanie's Discretionary 🌱","Fun Money","Melanie's Discretionary 🌱","",$0.00,$180.56,"Cleared"
"Chase Sapphire (1661)","","11/02/2025","Browns Gym Orbit Sports","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$257.60,$0.00,"Cleared"
"Chase Sapphire (1661)","","11/02/2025","Neurogenesis Center","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$90.00,$0.00,"Cleared"
"Chase Sapphire (1661)","","11/02/2025","Nintendo","Subscriptions ⏱️: Nintendo Online","Subscriptions ⏱️","Nintendo Online","",$79.99,$0.00,"Cleared"
"Chase Sapphire (1661)","","11/02/2025","Taco Bell","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$25.50,$0.00,"Cleared"
"Chase Sapphire (1661)","","11/02/2025","Sanlando Springs","Variable Expenses: Pets 🐾","Variable Expenses","Pets 🐾","",$21.10,$0.00,"Cleared"
"Chase Disney Visa (0810)","","11/02/2025","Joffrey's Coffee","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$11.57,$0.00,"Cleared"
"Chase Disney Visa (0810)","","11/02/2025","Epcot","Fun Money: Date Night 💞","Fun Money","Date Night 💞","",$8.50,$0.00,"Cleared"
"Chase Disney Visa (0810)","","11/02/2025","Walt Disney World","Fun Money: Date Night 💞","Fun Money","Date Night 💞","",$7.75,$0.00,"Cleared"
"Chase Disney Visa (0810)","","11/02/2025","Walt Disney World","Fun Money: Date Night 💞","Fun Money","Date Night 💞","",$6.25,$0.00,"Cleared"
"Chase Sapphire (1661)","","11/02/2025","Fullscript","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$0.00,$45.89,"Cleared"
"Chase Sapphire (1661)","","10/31/2025","Paul's Pool Service Inc","Fixed Monthly Expenses: Pool Service 🏊","Fixed Monthly Expenses","Pool Service 🏊","",$175.00,$0.00,"Cleared"
"Apple Card","","10/31/2025","Apple Store","Paying Off: iPhone 15","Paying Off","iPhone 15","",$49.07,$0.00,"Cleared"
"Apple Card","","10/31/2025","Burger King","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$33.20,$0.00,"Cleared"
"Chase Sapphire (1661)","","10/31/2025","Anthropic","Fixed Monthly Expenses: Mel Education","Fixed Monthly Expenses","Mel Education","",$5.00,$0.00,"Cleared"
"Apple Card","","10/30/2025","Crumbl Cookies","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$23.29,$0.00,"Cleared"
"Chase Prime Visa (8863)","","10/29/2025","Amazon","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$21.39,$0.00,"Cleared"
"TrustCo Checking","","10/28/2025","Transfer : Longwood Mortgage","Paying Off: Mortgage 🏘","Paying Off","Mortgage 🏘","",$1320.84,$0.00,"Cleared"
"Apple Card","","10/28/2025","Pursuit Physical Therapy","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$510.00,$0.00,"Cleared"
"Apple Card","","10/28/2025","Trader Joe's","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$117.29,$0.00,"Cleared"
"Chase Prime Visa (8863)","","10/28/2025","Amazon","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$99.40,$0.00,"Cleared"
"TrustCo Checking","","10/27/2025","Loan Payment","Paying Off: TrustCo HECL","Paying Off","TrustCo HECL","",$280.04,$0.00,"Cleared"
"Apple Card","","10/27/2025","Marco's Pizza","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$73.97,$0.00,"Cleared"
"Shared Checking (1852)","","10/27/2025","Target","Variable Expenses: Holiday/Party Spending 🎉","Variable Expenses","Holiday/Party Spending 🎉","",$66.36,$0.00,"Cleared"
"Chase Prime Visa (8863)","","10/26/2025","National Risk Sol","Fixed Monthly Expenses: Home Insurance 💥","Fixed Monthly Expenses","Home Insurance 💥","",$427.33,$0.00,"Cleared"
"Chase Sapphire (1661)","","10/26/2025","Neurogenesis Center","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$180.00,$0.00,"Cleared"
"Chase Sapphire (1661)","","10/26/2025","WOW!","Fixed Monthly Expenses: Cable & Internet 🖥️","Fixed Monthly Expenses","Cable & Internet 🖥️","",$80.00,$0.00,"Cleared"
"Chase Prime Visa (8863)","","10/26/2025","Amazon","Variable Expenses: Clothing/Grooming 👕","Variable Expenses","Clothing/Grooming 👕","",$60.98,$0.00,"Cleared"
"Chase Sapphire (1661)","","10/26/2025","Claude.ai","Fixed Monthly Expenses: Mel Education","Fixed Monthly Expenses","Mel Education","",$20.00,$0.00,"Cleared"
"Apple Card","","10/26/2025","McDonald's","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$10.36,$0.00,"Cleared"
"Apple Card","","10/26/2025","Midjourney","Fixed Monthly Expenses: Mel Education","Fixed Monthly Expenses","Mel Education","",$10.00,$0.00,"Cleared"
"Apple Card","","10/26/2025","Apple Services","Subscriptions ⏱️: Apple One","Subscriptions ⏱️","Apple One","",$4.55,$0.00,"Cleared"
"Apple Card","","10/25/2025","New Golden Sparkling Supermarket","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$55.00,$0.00,"Cleared"
"Citi Costco Card","","10/25/2025","Costco Gas","Day to Day Variables: Fuel/Gasoline 🚘","Day to Day Variables","Fuel/Gasoline 🚘","",$43.13,$0.00,"Cleared"
"Apple Card","","10/25/2025","Wawa","Day to Day Variables: Fuel/Gasoline 🚘","Day to Day Variables","Fuel/Gasoline 🚘","",$40.95,$0.00,"Cleared"
"Citi Costco Card","","10/25/2025","Costco","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$13.90,$0.00,"Cleared"
"Shared Checking (1852)","","10/24/2025","Hometeam Pest Defense","Fixed Monthly Expenses: Pest Control 🐜","Fixed Monthly Expenses","Pest Control 🐜","",$135.00,$0.00,"Cleared"
"Chase Prime Visa (8863)","","10/24/2025","Amazon","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$74.87,$0.00,"Cleared"
"Chase Disney Visa (0810)","","10/24/2025","Lakes Thai Inter","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$35.80,$0.00,"Cleared"
"Apple Card","","10/24/2025","Hulu","Subscriptions ⏱️: Hulu","Subscriptions ⏱️","Hulu","",$1.14,$0.00,"Cleared"
"Shared Checking (1852)","","10/24/2025","Cigna","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$0.00,$129.50,"Cleared"
"Shared Checking (1852)","","10/24/2025","Cigna","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$0.00,$238.00,"Cleared"
"Shared Checking (1852)","","10/24/2025","Cigna","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$0.00,$238.00,"Cleared"
"Shared Checking (1852)","","10/24/2025","Cigna","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$0.00,$238.00,"Cleared"
"Shared Checking (1852)","","10/24/2025","Cigna","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$0.00,$659.45,"Cleared"
"Shared Checking (1852)","","10/23/2025","Target","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","Hospital Stay Stuff",$265.87,$0.00,"Cleared"
"Chase Sapphire (1661)","","10/23/2025","Widnall Counseling","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$200.00,$0.00,"Cleared"
"Apple Card","","10/23/2025","www.thaili* thailiciou","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$50.08,$0.00,"Cleared"
"Apple Card","","10/23/2025","Trader Joe's","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$46.06,$0.00,"Cleared"
"Chase Prime Visa (8863)","","10/23/2025","Amazon","Variable Expenses: Holiday/Party Spending 🎉","Variable Expenses","Holiday/Party Spending 🎉","",$44.91,$0.00,"Cleared"
"Apple Card","","10/23/2025","Up n’ go","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$38.65,$0.00,"Cleared"
"Citi Costco Card","","10/23/2025","Costco","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$37.21,$0.00,"Cleared"
"Chase Prime Visa (8863)","","10/23/2025","Amazon","Variable Expenses: Holiday/Party Spending 🎉","Variable Expenses","Holiday/Party Spending 🎉","",$28.88,$0.00,"Cleared"
"Chase Disney Visa (0810)","","10/23/2025","McDonald's","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$2.13,$0.00,"Cleared"
"Shared Checking (1852)","","10/22/2025","Student Accounts","Fixed Monthly Expenses: Mel Education","Fixed Monthly Expenses","Mel Education","",$1135.95,$0.00,"Cleared"
"Apple Card","","10/22/2025","Tijuana Flats","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$40.89,$0.00,"Cleared"
"Apple Card","","10/22/2025","Jersey Mike's","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$19.63,$0.00,"Cleared"
"Chase Prime Visa (8863)","","10/22/2025","Amazon Kindle Services","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$0.38,$0.00,"Cleared"
"Shared Checking (1852)","","10/21/2025","Target","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$154.64,$0.00,"Cleared"
"Shared Checking (1852)","","10/21/2025","Water","Fixed Monthly Expenses: Utilities 🚿","Fixed Monthly Expenses","Utilities 🚿","",$154.25,$0.00,"Cleared"
"Citi Costco Card","","10/21/2025","Costco Gas","Day to Day Variables: Fuel/Gasoline 🚘","Day to Day Variables","Fuel/Gasoline 🚘","",$43.53,$0.00,"Cleared"
"Chase Prime Visa (8863)","","10/21/2025","Amazon","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$33.09,$0.00,"Cleared"
"Apple Card","","10/21/2025","Sally Beauty","Variable Expenses: Clothing/Grooming 👕","Variable Expenses","Clothing/Grooming 👕","",$32.05,$0.00,"Cleared"
"Chase Prime Visa (8863)","","10/20/2025","Tokyo Sushi Hibachi","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$93.05,$0.00,"Cleared"
"Apple Card","","10/20/2025","Wawa Fuel","Day to Day Variables: Fuel/Gasoline 🚘","Day to Day Variables","Fuel/Gasoline 🚘","",$40.45,$0.00,"Cleared"
"Chase Prime Visa (8863)","","10/20/2025","Amazon","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$34.99,$0.00,"Cleared"
"Chase Sapphire (1661)","","10/20/2025","WizKids Games","Fun Money: Colin's Discretionary 🎮","Fun Money","Colin's Discretionary 🎮","",$30.32,$0.00,"Cleared"
"Shared Checking (1852)","","10/20/2025","Target","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$13.95,$0.00,"Cleared"
"Apple Card","","10/20/2025","7-Eleven","Day to Day Variables: Fuel/Gasoline 🚘","Day to Day Variables","Fuel/Gasoline 🚘","",$5.65,$0.00,"Cleared"
"Chase Sapphire (1661)","","10/19/2025","Neurogenesis Center","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$180.00,$0.00,"Cleared"
"Chase Prime Visa (8863)","","10/19/2025","Dunkin'","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$17.67,$0.00,"Cleared"
"Wells Fargo Reflect Visa® Card – 8040","","10/18/2025","Rebalance Family Health","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$97.00,$0.00,"Cleared"
"Citi Costco Card","","10/18/2025","SunPass","Day to Day Variables: Tolls/Parking/Commute💰","Day to Day Variables","Tolls/Parking/Commute💰","",$25.00,$0.00,"Cleared"
"Chase Sapphire (1661)","","10/17/2025","Huneycutt Family Practice","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$292.00,$0.00,"Cleared"
"Chase Sapphire (1661)","","10/17/2025","Wiewiora and Dunn Orth","Fixed Monthly Expenses: Orthodontist 😬","Fixed Monthly Expenses","Orthodontist 😬","",$73.00,$0.00,"Cleared"
"Shared Checking (1852)","","10/17/2025","Target","Variable Expenses: Holiday/Party Spending 🎉","Variable Expenses","Holiday/Party Spending 🎉","Scarlett's birthday",$47.33,$0.00,"Cleared"
"Citi Costco Card","","10/17/2025","Costco","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$24.38,$0.00,"Cleared"
"Chase Sapphire (1661)","","10/17/2025","Nintendo","Fun Money: Fun/Entertainment 🎉","Fun Money","Fun/Entertainment 🎉","",$9.49,$0.00,"Cleared"
"Shared Checking (1852)","","10/17/2025","Cigna","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$0.00,$238.00,"Cleared"
"Shared Checking (1852)","","10/17/2025","Cigna","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$0.00,$476.00,"Cleared"
"Apple Card","","10/16/2025","Trader Joe's","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$183.09,$0.00,"Cleared"
"Shared Checking (1852)","","10/16/2025","T-Mobile","Fixed Monthly Expenses: Phone 📱","Fixed Monthly Expenses","Phone 📱","",$135.25,$0.00,"Cleared"
"Chase Sapphire (1661)","","10/16/2025","Widnall Counseling","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$100.00,$0.00,"Cleared"
"Apple Card","","10/16/2025","Wawa","Day to Day Variables: Fuel/Gasoline 🚘","Day to Day Variables","Fuel/Gasoline 🚘","",$50.32,$0.00,"Cleared"
"Apple Card","","10/16/2025","Apple Services","Subscriptions ⏱️: Apple One","Subscriptions ⏱️","Apple One","",$40.22,$0.00,"Cleared"
"Apple Card","","10/16/2025","Anderson Allergy & Asthma","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$30.00,$0.00,"Cleared"
"Chase Disney Visa (0810)","","10/16/2025","Walt Disney World Cold Hydraulics","Fun Money: Fun/Entertainment 🎉","Fun Money","Fun/Entertainment 🎉","",$15.00,$0.00,"Cleared"
"Apple Card","","10/16/2025","The Crepevine","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$10.69,$0.00,"Cleared"
"Chase Disney Visa (0810)","","10/16/2025","Kat Saka's Kettle","Fun Money: Fun/Entertainment 🎉","Fun Money","Fun/Entertainment 🎉","",$7.44,$0.00,"Cleared"
"Shared Checking (1852)","","10/15/2025","Venmo","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$105.00,$0.00,"Cleared"
"Apple Card","","10/15/2025","Tijuana Flats","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$56.11,$0.00,"Cleared"
"Apple Card","","10/15/2025","Jersey Mike's","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$31.22,$0.00,"Cleared"
"Apple Card","","10/15/2025","Ea Tiburon","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$10.65,$0.00,"Cleared"
"Apple Card","","10/15/2025","Chick-fil-A","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$10.22,$0.00,"Cleared"
"Shared Checking (1852)","","10/15/2025","Venmo","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$7.00,$0.00,"Cleared"
"Apple Card","","10/15/2025","Adjustment","Variable Expenses: Unknown","Variable Expenses","Unknown","",$2.00,$0.00,"Cleared"
"Apple Card","","10/15/2025","Monarch Money","Subscriptions ⏱️: Subscriptions to Categorize📺","Subscriptions ⏱️","Subscriptions to Categorize📺","",$0.00,$99.99,"Cleared"
"Apple Card","","10/14/2025","Pursuit Physical Therapy","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$510.00,$0.00,"Cleared"
"Chase Prime Visa (8863)","","10/14/2025","Isee","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$300.00,$0.00,"Cleared"
"Chase Prime Visa (8863)","","10/14/2025","Amazon","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$112.27,$0.00,"Cleared"
"Chase Prime Visa (8863)","","10/14/2025","Amazon","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$58.90,$0.00,"Cleared"
"Apple Card","","10/14/2025","Wawa","Day to Day Variables: Fuel/Gasoline 🚘","Day to Day Variables","Fuel/Gasoline 🚘","",$42.03,$0.00,"Cleared"
"Shared Checking (1852)","","10/14/2025","Greenlight","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$40.00,$0.00,"Cleared"
"Citi Costco Card","","10/14/2025","SunPass","Day to Day Variables: Tolls/Parking/Commute💰","Day to Day Variables","Tolls/Parking/Commute💰","",$25.00,$0.00,"Cleared"
"Chase Sapphire (1661)","","10/14/2025","Steam","Fun Money: Colin's Discretionary 🎮","Fun Money","Colin's Discretionary 🎮","",$7.19,$0.00,"Cleared"
"Chase Prime Visa (8863)","","10/13/2025","Tokyo Sushi Hibachi","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$77.71,$0.00,"Cleared"
"Apple Card","","10/13/2025","Orlando Oral & Facial","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$56.00,$0.00,"Cleared"
"Apple Card","","10/13/2025","Great Clips","Variable Expenses: Clothing/Grooming 👕","Variable Expenses","Clothing/Grooming 👕","",$54.00,$0.00,"Cleared"
"Chase Prime Visa (8863)","","10/13/2025","Tokyo Sushi Hibachi","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$41.70,$0.00,"Cleared"
"Apple Card","","10/13/2025","Bruster's Real Ice Cream","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$20.08,$0.00,"Cleared"
"Apple Card","","10/13/2025","Barnes & Noble","Fun Money: Erivyn Discretionary","Fun Money","Erivyn Discretionary","",$4.23,$0.00,"Cleared"
"Chase Sapphire (1661)","","10/12/2025","Neurogenesis Center","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$180.00,$0.00,"Cleared"
"Apple Card","","10/12/2025","Wawa Fuel","Day to Day Variables: Fuel/Gasoline 🚘","Day to Day Variables","Fuel/Gasoline 🚘","",$40.48,$0.00,"Cleared"
"Apple Card","","10/12/2025","Publix","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$24.35,$0.00,"Cleared"
"Apple Card","","10/12/2025","Panera Bread","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$12.21,$0.00,"Cleared"
