"Category","Mar 2022","Apr 2022","May 2022","Jun 2022","Jul 2022","Aug 2022","Sep 2022","Oct 2022","Nov 2022","Dec 2022","Jan 2023","Feb 2023","Mar 2023","Apr 2023","May 2023","Jun 2023","Jul 2023","Aug 2023","Sep 2023","Oct 2023","Nov 2023","Dec 2023","Jan 2024","Feb 2024","Mar 2024","Apr 2024","May 2024","Jun 2024","Jul 2024","Aug 2024","Sep 2024","Oct 2024","Nov 2024","Dec 2024","Jan 2025","Feb 2025","Mar 2025","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","Sep 2025","Oct 2025","Nov 2025","Average","Total"
"Dividend",0.00,0.00,0.00,0.00,0.00,0.00,18.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.41,18.24
"Ea Tiburon",2149.81,5796.32,23016.41,5907.96,8820.66,6285.61,6328.41,6265.81,6763.04,11605.92,5204.18,5937.59,5944.60,5944.62,6297.41,28244.21,6180.51,6445.08,6877.48,7202.88,4678.22,11210.98,6455.60,6555.91,6744.34,6656.20,7812.01,25712.23,6822.01,7510.92,7559.34,7543.18,13193.44,8817.29,6616.12,7038.18,7344.93,7249.20,11448.10,39066.84,5849.95,11676.56,9651.06,14259.51,4869.22,9323.55,419559.85
"Ea Tiburon Payroll Campbel",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,740.42,0.00,0.00,0.00,0.00,740.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.91,1480.84
"Ea Tiburon Payroll Campbell Colin",660.42,0.00,0.00,660.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2597.37,0.00,0.00,0.00,0.00,0.00,0.00,740.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6462.33,0.00,740.42,0.00,0.00,0.00,263.59,11861.38
"Electronic Arts",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2287.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.84,2287.68
"Electronic Arts Inc",0.00,0.00,12960.17,0.00,12277.64,0.00,12035.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18603.40,0.00,0.00,14013.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1553.11,69889.75
"Extended Insurance Sweep Deposit Account Interest",0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.04,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09
"Federal Tax Refund",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6332.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6886.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,293.73,13218.00
"Greenlight",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,250.00,-27.57,0.00,4.94,222.43
"Hca Local Hospital",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,307.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.82,307.04
"HSA Contribution",0.00,152.62,789.06,217.65,102.07,165.06,102.07,166.11,438.10,335.69,204.14,0.00,238.57,133.44,100.00,739.98,0.00,0.00,0.00,656.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.91,4540.79
"Interest",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
"Manual Balance Adjustment",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-500.00,0.00,0.00,0.00,-11.11,-500.00
"Morgan Stanley Bank",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
"Outdoorsy",0.00,0.00,0.00,0.00,361.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.03,361.20
"Reconciliation Balance Adjustment",0.00,0.00,0.00,197.93,70.38,0.00,0.00,0.00,0.00,-46.07,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,609.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-174.25,0.00,0.01,0.00,0.00,0.00,0.00,121.13,-2571.46,0.00,-39.83,-1792.22
"Reservations",0.00,0.00,0.00,0.00,0.00,0.00,0.00,4493.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.85,4493.10
"Seminole State",0.00,0.00,0.00,0.00,0.00,1146.11,1746.81,1293.53,1651.00,1046.60,796.01,1325.80,807.99,1270.23,1108.64,860.60,766.65,217.97,1101.13,1123.67,1420.56,4927.80,2782.00,2853.90,2853.90,2853.89,2853.90,2853.90,4133.31,2906.10,2906.10,4013.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1191.59,53621.43
"Statement Credit",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,900.56,0.00,20.01,900.56
"Step Up for Stud",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1781.88,0.00,57.38,2581.88
"Stock Sale",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6990.28,0.00,0.00,8501.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14645.23,0.00,0.00,11795.93,0.00,0.00,27796.21,0.00,0.00,14331.95,0.00,0.00,18709.52,0.00,0.00,9377.58,0.00,0.00,32624.65,0.00,0.00,23730.78,0.00,0.00,0.00,3744.53,168503.68
"Target",0.00,99.00,0.00,28.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.03,226.46
"Transfer : Colin Vanguard IRA",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25000.00,0.00,0.00,0.00,0.00,0.00,12189.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,826.44,37189.63
"Transfer : Melanie Vanguard IRA",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25000.00,0.00,0.00,0.00,0.00,21994.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1044.32,46994.31
"Transfer from Apple Pay",0.00,0.00,0.00,0.00,0.00,44.69,30.85,0.00,92.83,0.00,94.25,33.25,78.94,0.00,0.00,0.00,55.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.34,0.00,85.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.13,590.75
"Transfer from Venmo",0.00,0.00,37.50,0.00,70.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.94,132.50
"Venmo",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,600.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.35,600.95
"Zelle Transfer",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,180.00,0.00,180.56,0.00,8.01,360.56
"Zelle Transfer from Gina Ciabattoni",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,104.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.31,104.00
"Total Income",5039.77,6496.65,39221.15,7397.02,22859.84,8218.37,20975.88,12603.15,16880.98,13468.14,7253.26,16767.99,15157.98,7752.29,27422.44,32421.39,7002.28,20676.26,8388.41,10033.30,23341.38,16136.53,9237.60,28091.74,9598.24,10195.24,40748.94,29392.03,10955.32,24976.88,35465.44,36556.51,31902.96,8817.29,14616.12,17302.52,42179.82,7249.21,44072.75,45529.17,5849.95,45827.76,10994.19,14523.48,4869.22,19432.60,874466.84
"Uncategorized Transactions",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-607.68,-13.50,-607.68
"Day to Day Variables",-2248.13,-6510.78,-4415.70,-5352.05,-5265.23,-7090.01,-5191.23,-4662.93,-3433.09,-1643.70,-4055.61,-5341.01,-5358.31,-4087.79,-4899.87,-4912.06,-2811.06,-4303.80,-5468.61,-4829.91,-5798.77,-6341.63,-3831.22,-2357.06,-5383.02,-4338.24,-3783.79,-3488.32,-5129.30,-4596.12,-5130.28,-5414.07,-4867.79,-6777.90,-8074.21,-5734.57,-5255.54,-6116.63,-6097.67,-6029.51,-5083.30,-4510.42,-3761.15,-3693.66,-951.97,-4765.04,-214427.02
"Essentials, Food, Home",-366.02,-1863.23,-1854.93,-1827.26,-1810.30,-2117.72,-1864.07,-1325.01,-1632.32,-816.06,-1272.30,-1400.01,-1352.52,-1317.32,-1581.98,-1768.22,-1249.69,-1413.81,-1457.97,-1850.91,-1622.94,-1851.61,-1114.45,-1811.41,-1752.62,-1638.93,-2795.74,-2134.87,-2613.24,-2634.13,-2361.96,-2483.78,-2198.55,-3049.83,-3265.74,-2438.75,-1917.60,-2992.31,-1769.30,-2333.70,-2649.06,-1464.13,-1172.01,-1568.85,-333.31,-1824.68,-82110.47
"Household Goods 🏠",-30.93,-597.77,-338.67,-434.17,-598.34,-757.39,-610.46,-900.10,-344.10,-102.77,-358.35,-428.59,-137.86,-185.08,-503.28,-450.71,-122.52,-345.40,-413.48,-209.91,-342.42,-611.66,-308.79,-511.88,-169.47,-412.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-227.25,-10226.29
"Eating Out  🍕",-217.47,-817.10,-678.71,-1165.98,-885.91,-1089.22,-813.93,-1103.18,-917.86,-757.26,-1046.51,-1101.93,-1447.59,-1026.50,-1442.72,-960.56,-679.11,-720.92,-1419.81,-1105.14,-835.14,-997.82,-602.26,-847.47,-690.51,-787.70,-865.17,-848.47,-925.19,-638.55,-1061.20,-1253.91,-1078.93,-1157.37,-1262.99,-1021.62,-1382.35,-1159.05,-1773.20,-1678.63,-1335.82,-686.59,-513.05,-820.10,-297.45,-975.95,-43917.95
"Fuel/Gasoline 🚘",-137.64,-509.38,-590.50,-496.27,-414.54,-539.93,-334.55,-328.83,-376.70,-257.99,-418.67,-363.68,-377.34,-428.11,-406.03,-448.87,-295.31,-324.83,-584.56,-435.09,-445.22,-229.05,-228.09,-451.40,-315.71,-430.20,-345.81,-217.56,-304.24,-373.60,-295.18,-360.63,-312.97,-338.27,-507.93,-424.60,-496.44,-332.14,-480.32,-414.67,-384.91,-459.84,-337.17,-468.70,0.00,-378.30,-17023.47
"Tolls/Parking/Commute💰",-33.00,-105.00,-31.00,-50.00,-9.00,-196.35,-152.00,-107.00,-110.00,-25.00,-81.00,-108.00,-81.00,-50.00,-81.00,-43.00,-25.00,-70.35,-75.00,-69.00,-95.00,-27.35,-25.00,-75.00,-100.00,-100.00,-75.00,-25.00,-75.00,-189.95,-25.00,-10.25,-25.00,-25.00,-25.00,-76.90,-25.00,-25.00,-75.00,-75.00,-50.00,-75.00,-25.00,-75.00,0.00,-64.47,-2901.15
"Education 🎓",-1463.07,-2618.30,-921.89,-1378.37,-1547.14,-2389.40,-1416.22,-898.81,-52.11,315.38,-878.78,-1938.80,-1962.00,-1080.78,-884.86,-1240.70,-439.43,-1428.49,-1517.79,-1159.86,-2458.05,-2624.14,-1552.63,1340.10,-2354.71,-969.22,297.93,-262.42,-1211.63,-759.89,-1386.94,-1305.50,-1252.34,-2207.43,-3012.55,-1772.70,-1434.15,-1608.13,-1999.85,-1527.51,-663.51,-1824.86,-1713.92,-761.01,-321.21,-1294.39,-58247.69
"Variable Expenses",-698.23,-4354.40,-2697.33,-5468.78,-3645.06,-2973.73,-2781.48,-2737.81,-3592.30,-2824.34,-3385.78,-1912.21,-6034.83,-7462.00,-2917.12,-4978.35,-1292.28,-8229.40,-5998.44,-2313.54,-3988.89,-3412.64,-512.94,-2965.64,-3770.60,-3722.09,-4166.88,-7780.32,-3311.70,-8103.06,-5196.65,-5829.15,-778.00,-6358.45,-6400.57,-2446.88,-5145.05,-4997.99,-7658.31,-8004.88,-7766.86,-7973.67,-2620.80,-2822.47,-429.09,-4276.91,-192460.99
"Therapy 🧑‍⚕️",0.00,-311.99,-700.00,-2635.00,-200.00,-400.00,-595.00,-400.00,-460.00,-430.00,-395.00,-580.00,-525.00,-755.00,-280.00,-758.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-209.46,-9425.57
"Medical  / Health🌡",0.00,-1014.62,-1096.88,-767.48,-931.91,-515.79,-142.83,-428.30,-1256.45,-636.76,-767.74,-483.96,-765.11,-552.15,-1553.21,-1727.48,-345.47,-6284.44,-3384.00,-395.61,-897.45,-403.63,247.67,-1158.84,-2054.80,-1720.72,-2836.33,-6710.06,-1774.86,-4713.53,-3757.73,-3995.14,1229.68,-5238.84,-4948.56,-1543.53,-4631.25,-987.13,-6047.52,-4015.01,-4771.33,-5742.97,-1586.17,-2470.39,-407.99,-2088.59,-93986.62
"Pets 🐾",-285.69,-748.19,-138.30,-598.10,-168.56,-1403.76,-393.41,-531.68,-580.57,-546.60,-414.95,-281.90,-558.62,-524.95,-408.88,-403.63,-575.17,-885.62,-222.74,-387.25,-593.40,-487.74,-183.40,-79.37,-110.61,-291.36,-326.60,-639.86,-99.76,-103.43,-81.04,-154.46,-155.18,-90.59,-564.00,-98.16,-159.36,-77.66,-171.76,-1102.01,-331.26,-62.53,-215.19,-21.10,-21.10,-361.77,-16279.50
"Clothing/Grooming 👕",-124.47,-474.91,-416.76,-932.52,-699.09,-485.20,-141.67,-434.08,-575.91,-190.32,-393.57,-199.91,-326.14,-823.52,-284.84,-964.60,-181.11,-255.67,-586.26,-132.01,-617.03,-79.28,-297.89,-265.30,-302.43,-215.47,-451.92,-268.12,-119.87,-939.52,-385.16,-174.53,-400.01,-175.45,-447.30,-135.34,-213.36,-551.23,-1088.33,-724.86,-701.22,-787.89,-142.77,-147.03,0.00,-405.64,-18253.87
"Home Improvement 🏗️",0.00,0.00,-52.06,-160.00,-822.83,0.00,-700.00,-695.37,-32.07,-551.39,-58.61,-75.00,1100.00,-4677.45,-263.06,0.00,-110.53,-365.35,-414.31,-114.54,0.00,-3.75,-130.00,-570.00,-223.73,-1126.39,-82.46,0.00,-752.92,-152.35,-96.18,-28.23,-926.20,-177.14,-204.79,-200.00,-65.40,-205.20,-150.00,-1427.17,-1879.68,-1305.79,-546.02,5.64,0.00,-405.34,-18240.33
"Repairs 🛠",0.00,-323.58,0.00,0.00,-822.67,0.00,-243.32,-13.79,-44.50,0.00,-766.21,-251.44,-4773.96,0.00,0.00,-904.26,0.00,-278.14,-1188.49,-638.62,0.00,-1702.97,0.00,-165.72,-335.81,-533.70,-275.00,-42.75,-244.38,-2065.84,-65.24,-844.29,-71.60,0.00,-94.74,0.00,-66.02,-2730.49,0.00,-32.09,0.00,-71.68,-128.02,0.00,0.00,-438.21,-19719.32
"Garden 🌱",0.00,0.00,0.00,0.00,0.00,0.00,0.00,-126.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1835.60,-139.50,0.00,0.00,0.00,0.00,-80.72,-119.53,0.00,0.00,-835.82,-349.01,-43.00,-140.36,0.00,-259.44,-12.00,-64.90,-89.85,0.00,0.00,0.00,0.00,0.00,0.00,-91.03,-4096.48
"Holiday/Party Spending 🎉",-288.07,-1043.89,0.00,-15.47,0.00,0.00,-357.29,-67.16,-228.61,-248.64,-362.97,0.00,-186.00,-29.93,-47.13,-219.80,0.00,0.00,-171.65,-312.04,-84.67,-148.89,0.00,-568.87,-175.94,-149.07,0.00,0.00,-182.93,-78.11,-80.24,-237.52,-238.63,-403.91,0.00,-57.24,0.00,-4.26,-24.55,-67.10,-72.93,0.00,0.00,-187.48,0.00,-140.91,-6340.99
"Gifts/Presents 🎁",0.00,-437.22,-59.59,-91.65,0.00,-168.98,-207.96,-40.68,-81.19,-220.63,-126.73,-40.00,0.00,0.00,-80.00,0.00,-80.00,-160.18,-30.99,-333.47,0.00,-446.88,-141.19,-145.99,-167.28,-85.38,-50.00,0.00,0.00,0.00,-7.43,-36.36,-44.95,0.00,0.00,0.00,0.00,-375.06,-85.44,0.00,0.00,-11.90,0.00,0.00,0.00,-83.49,-3757.13
"Charity / Giving",0.00,0.00,-74.23,-157.50,0.00,0.00,0.00,0.00,-333.00,0.00,-100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-60.50,-5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-16.23,-730.23
"SSC Honors Purchases (will be reimbursed)",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-11.55,-400.00,400.00,-29.80,0.00,0.00,-8.03,112.19,0.00,0.00,0.00,0.00,-5.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.28,57.48
"Money Shuffling",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-99.00,0.00,0.00,0.00,0.00,0.00,0.00,39.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-636.63,0.00,0.00,0.00,0.00,0.00,-15.47,-696.37
